step,reward,avg_speed,cav_count,hdv_count
608,0.228938,1.149591,23,14
609,0.231574,1.162635,23,14
610,0.234210,1.175678,23,14
611,0.236846,1.188722,23,14
612,0.239482,1.201765,23,14
613,0.242118,1.214809,23,14
614,0.244754,1.227852,23,14
615,0.247389,1.240896,23,14
616,0.250025,1.253939,23,14
617,0.252661,1.266983,23,14
618,0.268507,1.280026,23,14
619,0.268507,1.280026,23,14
620,0.268507,1.280026,23,14
621,0.268507,1.280026,23,14
622,0.268507,1.280026,23,14
623,0.268507,1.280026,23,14
624,0.268507,1.280026,23,14
625,0.268507,1.280026,23,14
626,0.268507,1.280026,23,14
627,0.223422,1.280026,23,14
628,0.226058,1.293070,23,14
629,0.228694,1.306113,23,14
630,0.231330,1.319157,23,14
631,0.233966,1.332200,23,14
632,0.259101,1.345244,23,14
633,0.261737,1.358287,23,14
634,0.225373,1.371330,23,14
635,0.228009,1.384374,23,14
636,0.230645,1.397417,23,14
637,0.233281,1.410461,23,14
638,0.228417,1.423504,23,14
639,0.231053,1.436548,23,14
640,0.233688,1.449591,23,14
641,0.236324,1.462635,23,14
642,0.238960,1.475678,23,14
643,0.241596,1.488722,23,14
644,0.244232,1.501765,23,14
645,0.246868,1.514809,23,14
646,0.249504,1.527852,23,14
647,0.252140,1.540896,23,14
648,0.254775,1.553939,23,14
649,0.257411,1.566983,23,14
650,0.260047,1.580026,23,14
651,0.262683,1.593070,23,14
652,0.265319,1.606113,23,14
653,0.267955,1.619157,23,14
654,0.270591,1.632200,23,14
655,0.273227,1.645244,23,14
656,0.275862,1.658287,23,14
657,0.278498,1.671330,23,14
658,0.281134,1.684374,23,14
659,0.283770,1.697417,23,14
660,0.286406,1.710461,23,14
661,0.289042,1.723504,23,14
662,0.291678,1.736548,23,14
663,0.294313,1.749591,23,14
664,0.294313,1.749591,23,14
665,0.294313,1.749591,23,14
666,0.294313,1.749591,23,14
667,0.294313,1.749591,23,14
668,0.294313,1.749591,23,14
669,0.294313,1.749591,23,14
670,0.294313,1.749591,23,14
671,0.294313,1.749591,23,14
672,0.294313,1.749591,23,14
673,0.294313,1.749591,23,14
674,0.294313,1.749591,23,14
675,0.294313,1.749591,23,14
676,0.294313,1.749591,23,14
677,0.294313,1.749591,23,14
678,0.294313,1.749591,23,14
679,0.294313,1.749591,23,14
680,0.294313,1.749591,23,14
681,0.294313,1.749591,23,14
682,0.294313,1.749591,23,14
683,0.294313,1.749591,23,14
684,0.294313,1.749591,23,14
685,0.277866,1.476684,22,14
686,0.277866,1.476684,22,14
687,0.277866,1.476684,22,14
688,0.277866,1.476684,22,14
689,0.277866,1.476684,22,14
690,0.277866,1.476684,22,14
691,0.277866,1.476684,22,14
692,0.277866,1.476684,22,14
693,0.277866,1.476684,22,14
694,0.277866,1.476684,22,14
695,0.277866,1.476684,22,14
696,0.277866,1.476684,22,14
697,0.277866,1.476684,22,14
698,0.277866,1.476684,22,14
699,0.277866,1.476684,22,14
700,0.277866,1.476684,22,14
701,0.277866,1.476684,22,14
702,0.277866,1.476684,22,14
703,0.277866,1.476684,22,14
704,0.277866,1.476684,22,14
705,0.277866,1.476684,22,14
706,0.277866,1.476684,22,14
707,0.277866,1.476684,22,14
708,0.277866,1.476684,22,14
709,0.268934,1.476684,22,14
710,0.271605,1.490321,22,14
711,0.274275,1.503957,22,14
712,0.276945,1.517593,22,14
713,0.279616,1.531230,22,14
714,0.282286,1.544866,22,14
715,0.282286,1.544866,22,14
716,0.282286,1.544866,22,14
717,0.282286,1.544866,22,14
718,0.282286,1.544866,22,14
719,0.282286,1.544866,22,14
720,0.282286,1.544866,22,14
721,0.282286,1.544866,22,14
722,0.282286,1.544866,22,14
723,0.282286,1.544866,22,14
724,0.282286,1.544866,22,14
725,0.282286,1.544866,22,14
726,0.282286,1.544866,22,14
727,0.282286,1.544866,22,14
728,0.282286,1.544866,22,14
729,0.243853,1.544866,22,14
730,0.246148,1.558502,22,14
731,0.248443,1.572139,22,14
732,0.250739,1.585775,22,14
733,0.253034,1.599412,22,14
734,0.255330,1.613048,22,14
735,0.257625,1.626684,22,14
736,0.259921,1.640321,22,14
737,0.262216,1.653957,22,14
738,0.264512,1.667593,22,14
739,0.266807,1.681230,22,14
740,0.269103,1.694866,22,14
741,0.271398,1.708502,22,14
742,0.253321,1.722139,22,14
743,0.257412,1.749412,22,14
744,0.261503,1.776684,22,14
745,0.265594,1.803957,22,14
746,0.269684,1.831230,22,14
747,0.273775,1.858502,22,14
748,0.277866,1.885775,22,14
749,0.281957,1.913048,22,14
750,0.286048,1.940321,22,14
751,0.290139,1.967593,22,14
