window,step,throughput,cumulative_throughput
1061,106100,5,899
1062,106200,5,904
1063,106300,3,907
1064,106400,5,912
1065,106500,2,914
1066,106600,7,921
1067,106700,6,927
1068,106800,4,931
1069,106900,4,935
1070,107000,2,937
1071,107100,7,944
1072,107200,5,949
1073,107300,2,951
1074,107400,8,959
1075,107500,6,965
1076,107600,6,971
1077,107700,2,973
1078,107800,5,978
1079,107900,3,981
1080,108000,5,986
1081,108100,6,992
1082,108200,5,997
1083,108300,4,1001
1084,108400,3,1004
1085,108500,3,1007
1086,108600,7,1014
1087,108700,6,1020
1088,108800,5,1025
1089,108900,4,1029
1090,109000,5,1034
1091,109100,3,1037
1092,109200,4,1041
1093,109300,7,1048
1094,109400,6,1054
1095,109500,2,1056
1096,109600,4,1060
1097,109700,5,1065
1098,109800,5,1070
1099,109900,5,1075
1100,110000,5,1080
1101,110100,3,1083
1102,110200,5,1088
1103,110300,6,1094
1104,110400,4,1098
1105,110500,5,1103
1106,110600,5,1108
1107,110700,5,1113
1108,110800,4,1117
1109,110900,7,1124
1110,111000,5,1129
1111,111100,5,1134
1112,111200,1,1135
1113,111300,4,1139
1114,111400,4,1143
1115,111500,6,1149
1116,111600,5,1154
1117,111700,3,1157
1118,111800,2,1159
1119,111900,7,1166
1120,112000,4,1170
1121,112100,3,1173
1122,112200,2,1175
1123,112300,1,1176
1124,112400,5,1181
1125,112500,4,1185
1126,112600,4,1189
1127,112700,6,1195
1128,112800,2,1197
1129,112900,2,1199
1130,113000,4,1203
1131,113100,5,1208
1132,113200,3,1211
1133,113300,2,1213
1134,113400,5,1218
1135,113500,3,1221
1136,113600,3,1224
1137,113700,0,1224
1138,113800,5,1229
1139,113900,2,1231
1140,114000,5,1236
1141,114100,6,1242
1142,114200,2,1244
1143,114300,6,1250
1144,114400,6,1256
1145,114500,3,1259
1146,114600,2,1261
1147,114700,2,1263
1148,114800,4,1267
1149,114900,3,1270
1150,115000,6,1276
1151,115100,7,1283
1152,115200,5,1288
1153,115300,7,1295
